,title,url,review
10,The Nevers,https://www.imdb.com/title/tt8697870/reviews?ref_=ttls_li_tt,"""The Nevers"" is nothing special, but impressive nevertheless. This story of people with unusual abilities having to navigate Victorian London has a lot of surprises in store. Having just watched the first segment (comprising six episodes), I'm eager to finish the first season."
11,Fried Barry,https://www.imdb.com/title/tt9102084/reviews?ref_=ttls_li_tt,"I am not even comparing this to the Greasy Strangler as a movie, just referring to the title ... if anything they are both quite trashy as some would say, but in a different sense. This is quite episodic and I reckon some people who did do drugs, may feel some connection to some of the things happening here. Still it has to be noted, you should not try this at home. And even someone like me, who didn't do drugs (alcohol aside if you think it counts per definition), I could relate ... well understand may be the better word, what the main character goes through, to a degree.Very well played by our lead and far out as some might say. But also completely odd and tough to follow. Also no story - just a few things to be aware of. This isn't anywhere near a ""normal"" film ... but if you let yourself into the world and the madness this depicts ... you can have some fun, with all the depravities you get to see. Or be entertained by them I should say ... fun isn't really ... well I guess you can laugh a lot, especially if you can distinguish and not compare this to your real life (hopefully) ... no pun intended"
12,Cleanin' Up the Town: Remembering Ghostbusters,https://www.imdb.com/title/tt1446678/reviews?ref_=ttls_li_tt,"Greetings again from the darkness. For fans of the 1984 megahit GHOSTBUSTERS, this is the ultimate gift from the brother and sister filmmaking team of Anthony Bueno and Claire Bueno. It's a deep cut ""making of"" feature that takes us behind the scenes for a detailed explanation of just how this comedy-horror-science fiction film made it to the big screen, became such a huge hit, and has maintained such an enduring impact.If you've ever wondered about the origin of the story, you'll be surprised to learn that Dan Aykroyd's great-grandfather was both a dentist and a dedicated researcher of psychic phenomena and the paranormal. This documentary is filled with surprises and insider scoops on everything from the development of the script, the assembling of the crew, the craziness of the special effects team, and finalizing the cast. What makes this different from other 'movies about movies' is that many of the talking heads here are the crew and technicians from whom we rarely have access. There are even segments on the iconic logo and the popular theme song (""Who you gonna call?"").Of course we also get interviews from the cast, including Aykroyd, Harold Ramis (who passed away in 2014), Ernie Hudson, and Sigourney Weaver. Mr. Hudson and Ms. Weaver are especially forthcoming - he about how his role as Winston was reduced at the last minute, and she about her audition and game-changing idea for her character Dana, a role she compared to the great Margaret Dumont. Many of the secondary characters offer insight as well, including Alice Drummond, Annie Potts, and William Atherton, the latter since stuck with a not-so-flattering nickname.Director Ivan Reitman recollects many of the challenges, not the least of which were an incredibly tight time line for what was actually an experimental film for the times. They were given one year to formulate a script, secure the locations, finalize the costumes, film the gags, and create the 'monsters'. The famed NYC Firehouse was used for the exterior shots, though a Firehouse in Los Angeles (built in the same year) was used for internal scenes. But the real fun here is supplied by the crew, eager to tell their own stories. The creation of Slimer, with John Belushi eyebrows, is taken from sketch to final. There is an extended sequence on the Stay Puft Marshmallow Man and the challenges incurred. Ray Parker Jr discusses his rapid work on the theme song, and we even learn about the siren on Ecto-1, the Ghostbusters iconic vehicle.GHOSTBUSTERS: AFTERLIFE, the sequel to the 1984 original hits theaters this fall, and the sibling Buenos even have a documentary in the works for the GHOSTBUSTERS II (1989). It's disappointing that neither Bill Murray nor Rick Moranis were interviewed for the film, and it's really sad to learn that the salary demands of the great John Candy kept him from appearing in the original film (in the role ultimately owned by Moranis). Sure, we miss hearing the theme song, but this documentary is everything fans of the 1984 comedy masterpiece could want. And you'll have to watch if you want to know the importance of the leopard howl.In theaters October 1, 2021 and On Demand October 5."
13,Detention,https://www.imdb.com/title/tt13175760/reviews?ref_=ttls_li_tt,"This never got going, boring from start to finish the story was so much overdone with supernatural confusion, the last two episodes were painful to watch
cannot recommend this series....honestly"
14,Aileen Wuornos: American Boogeywoman,https://www.imdb.com/title/tt14265992/reviews?ref_=ttls_li_tt,"On death row, serial killer Aileen Wuonos (Peyton List) tells her story from her point of view, even the stuff that happened when she wasn't there and had no way of knowing. Her version starts on July 4, 1976 and her tale does not jive with the known facts which she claims were faked by the media to spin a story. Her life as a gold digger was short lived.I liked Peyton List in that role. However knowing that the story was not exactly truthful made me feel like I was watching an Oliver Stone film without Oliver stone.Guide: F-word. Sex. Brief male butt nudity."
15,Vengeance Is Mine,https://www.imdb.com/title/tt11650226/reviews?ref_=ttls_li_tt,"I saw ""Vengeance Is Mine"", starring Con O'Neill-Chernobyl_tv, Uncle_tv; Sarah_Jane Potts-The Chameleon, Sugar Rush; Anton Valensi-Eastenders_tv, Luther_tv and Annabel Wright-Lake Placid vs. Anaconda_tv, Shark Rampage_tv.This is a cheap English-I mean the country, not the language-tale of vengeance. Con looses his wife, Annabel, and daughter to a hit and run careless driver, Anton, who also happens to be a drug dealer. Con gets a good look at all 5 people in the car, who speed off-probably on their way to make a drug deal. Con gets depressed and thinks of committing suicide until he gets the idea to go after them and take his own vengeance-instead of calling the police, like most people would do. Since his family died, Con has been working & living at a church where he meets Sarah, a woman that also lost her spouse. Although Con is no professional killer, he seems to hold his own against the bad guys, knocking them off one by one and getting the girl at the end.It didn't have a rating but it contained violence and language and had a running time of 1 hour & 19 minutes.It's not one that I would buy on DVD or even rent. I guess it would be alright to watch it when it comes to cable."
16,Free Guy,https://www.imdb.com/title/tt6264654/reviews?ref_=ttls_li_tt,"Guy (Ryan Reynolds) is a bank teller and Buddy (Lil Rel Howery) is his best friend. He's actually an NPC (non-player character) in Free City, an online video game. He goes through every day doing the same thing and getting robbed multiple times. One day, he spots Molotovgirl (Jodie Comer) and his world view expands. In the real world, she is Millie suing Antwan (Taika Waititi) for stealing her code. She is in the game trying to find proof of that theft.It's a good idea but it's Ryan Reynolds who makes this good. He is the fun guy. He makes this fun. I do have a couple of problems with the movie. The security guy at the secret stash should be an NPC. At that point in the story, he should start convincing the other NPCs to help him outside of their programming. Also, there's no reason why the evidence is stashed in a room in the game. I get that it makes it easier but it makes no sense. All that is a little besides the point, it's Reynolds and he's the fun guy."
17,The Green Knight,https://www.imdb.com/title/tt9243804/reviews?ref_=ttls_li_tt,"One of the very worst films I've seen in a long time. Impossibly, improbably arty but in an extremely dull, nothing happening kind of way. Couldn't stand the direction from the outset or the constant anachronisms which wear the viewer down. Apparently the idea from this came from the director playing with WILLOW figures in his back garden and that certainly shows. CGI talking animals, bored actors (Dev Patel, what are you up to?) and one good visual with the walking giants. A hated film."
18,Roadrunner: A Film About Anthony Bourdain,https://www.imdb.com/title/tt14512538/reviews?ref_=ttls_li_tt,"Greetings again from the darkness. As the film begins, we understand there will be no happy ending. Anthony Bourdain committed suicide by hanging in 2018 at the age of 61. As it was reported, everyone was shocked. Oscar winning documentarian Morgan Neville (TWENTY FEET FROM STARDOM, 2013) interviews those who knew him best, and by the end of the film, we are left wondering why these folks were shocked at how his demise.Bourdain ... called Tony by those who knew him ... spent most of the last 20 years of his life with a camera focused on him, so director Neville allows Bourdain to tell much of his own story. ""I got very lucky"" is how he explains turning a dishwasher job into the position of Chef at Brasserie Les Halles on Park Avenue in New York, and then evolving into an author, talk show guest, and host of TV travel and culinary shows.Perhaps you read Bourdain's first book ""Kitchen Confidential: Adventures in the Culinary Underbelly"", or maybe you know him from one of his four TV shows where he traveled around the globe eating strange food and exploring unusual cultures. Then again, to some, he'll always be known as the guy who was filmed eating a live cobra heart. All of those bits are discussed here, but the real interesting segments occur as others talk about the man they knew/loved/worked with.Bourdain's second wife Ottavio, his brother, his friends, his agent, and his production crew are all interviewed here and are surprisingly forthcoming in their recollections and insight into Tony. We even see clips of Bourdain with his daughter, though she is not interviewed. The descriptions add up to a complicated guy. A natural storyteller who was a control freak and hard on those he worked with. Yet he was also charming, immensely intelligent and articulate, and eager to make satisfying TV. He also comes across a bit lost as a person most of the time, never more than when he's filmed asking Iggy Pop, ""What thrills you?"" There is even a segment with Tony in a session with his therapist.The film, and Bourdain himself, don't shy away from his addictive nature. He admits to a drug problem when he was younger, and for the rest of his life he jumped from one non-drug related addiction to another. His personal life seemed to take a turn when he fell for Italian actress Asia Argento and he became an advocate for the #MeToo movement. His tragic end is discussed, and maybe those closest to him were simply too close to see what seems obvious to us now. Director Neville uses no shortage of archival footage and photos, but it's the personal interviews that strike the emotional chord here. Two films, APOCALYPSE NOW and VIOLENT CITY apparently had a dramatic impact on Bourdain, and though the end is tragic, his legacy as an adventurous storyteller lives on.In theaters on July 16, 2021."
19,Black Lightning,https://www.imdb.com/title/tt6045840/reviews?ref_=ttls_li_tt,"Jefferson Pierce (Cress Williams) has been the principal at Garfield H.S. in Freeland for 9 years. His two daughters attend the school. He is divorced from his wife and would like to get back together. It has been seven years since he was Black Lightning, a vigilante with super powers. The city is threatened by the ""100 Gang"" and so are his daughters which brings a return to the superhero. This is a good series with a bunch of likeable characters. Decent soundtrack. I look forward to the next series as his daughter develops power also. Guide: No swearing sex, or nudity. One scene of sensual FF action."
20,The Last Job,https://www.imdb.com/title/tt9804272/reviews?ref_=ttls_li_tt,"Greetings again from the darkness. Thanks to (or maybe because of) Stallone, Schwarzenegger, Bruce Willis, and Liam Neeson, we are rarely without a senior citizen action film. However, it's a bit surprising for most of us to see Oscar winner Richard Dreyfuss (THE GOODBYE GIRL, 1977) load up his gun and take to the streets for revenge. Writer-director Adam Lipsius scored a double Oscar coup by also casting Mira Sorvino (MIGHTY APHRODITE, 1995) as Dreyfuss' detective-daughter.""Based on actual events"", Mr. Lipsius bookends the film with the elderly Ben Myers (Dreyfuss) riding in the back of a limousine. He's barely coherent, but in the opening we can make out, ""If I wake up, I'll choose different."" We then flashback 12 hours to re-live what is likely Ben Myers' worst day ever. He's been diagnosed with terminal cancer, and though he's a former mobster, he says he went ""legit"" 12 years ago, and runs a local bar with his loyal-to-a-fault sidekick Tommy (the always interesting Pruitt Taylor Vince). Ben's estranged daughter (Sorvino) hits him up for money she says is for the daughter and grandkids that Ben has never acknowledged. Next thing we know, Ben's house has been robbed of all his cash (a quite substantial amount) and trashed by 3 men who take advantage of Ben's beloved dementia-stricken wife Nan (Megan McFarland).This kicks off Ben's mission of revenge. Gun by Glock, body by Devito. His daughter is concerned he's taking this on by himself, and there is the added complication of her working for a politician that Ben once helped out of what would have been a career-ending jam. In fact, there are so many sub-plots, sub-sub-plots and characters who come and go, that much of this makes little sense. It works best when focusing on an aging (former) mobster trying to even the score, and gets a bit shaky when it reverts to dysfunctional family stuff. I believe there are five crying scenes, which is entirely too many for any movie not named SOPHIE'S CHOICE.For those of us who recall Dreyfuss from his early TV days, a brief appearance in THE GRADUATE (1967), and of course in AMERICAN GRAFFITI (1973) and JAWS (1975), there is some enjoyment to be had in watching 'Mr. Holland' take a violent approach to revenge ... though he's certainly no AARP reincarnation of John Wick. Overall, it's a pretty generic take on geriatric anger, with bonus points for a spot on description of what it feels like when one's spouse succumbs to dementia.Arrives August 13, 2021 in select theaters, On Demand, and on Digital."
21,Survive the Game,https://www.imdb.com/title/tt12861508/reviews?ref_=ttls_li_tt,"Detective David Watson(Bruce Willis) and his younger partner Cal (Swen Temmel) decide to go it alone on a drug bust in a remote building without backup. They are outnumbered as David takes a bullet to the abdomen and his partner leaves him for dead and takes off after just two of the bad guys, still not calling for help. (Had some plot issues, but what Willis film doesn't?) They get chased to Summer Canyon Farm, a remote house. (Filmed in PR). The lone occupant is Eric (Chad Michael Murray) a depressed, suicidal Purple Heart vet who lost his family. He is not running. We eventually have the good guys grossly outnumbered and out gunned by the bad guys and have to go after them one at a time, that would only happen in the movies.Bad girl Violet (Kate Katzman) made the film enjoyable by being a Harley Quinn clone. Bad guy Frank (Michael Sirow) moves his head and cricks his neck, the bad guy cliche that replaced black hats. BTW he wore black also. I liked the soundtrack and cliche action scenes even if you didn't.Guide: F-word. No sex or nudity."
22,Tides,https://www.imdb.com/title/tt6506264/reviews?ref_=ttls_li_tt,"The Earth became uninhabitable after various devastations. The elites moved off world to another planet. After two generations, they sent two missions to investigate a possible return to Earth. The first mission goes missing. Louise Blake is part of the Ulysses 2 crew. Her father is the captain of Ulysses 1.Apparently, infertility has something to do with the planets or something like that. How does that work? I don't understand the science of it all. The movie needs to explain it since it's such a big part of the plot. The movie would work better without that idea anyways. The collecting of girls is always creepy and this story doesn't need it. I actually really like the first half a lot. The second half is a bit of a bummer when it tries to do what it does."
23,The Flash,https://www.imdb.com/title/tt3107288/reviews?ref_=ttls_li_tt,"Review of Season One:THE FLASH is another addition to the DC Comics universe, and very similar in scope to ARROW. However, I found this season to be slightly preferable to ARROW; it doesn't have that po-faced seriousness that ARROW has going on, and the characters are more likeable as a result. It's generally a villain of the week kind of picture, although there is a mildly engaging storyline that emerges and comes to fruition towards the climax. The performers are generally confident and ambitious, which helps a lot, although the CGI effects leave something to be desired and there's a certain constraint and repetitive nature to the action scenes due to the superhero's power and in this respect ARROW is the superior show. I was delighted to see some genre favourites, including Liam McIntyre and Clancy Brown, appearing in support.Review of Season Two:Season 2 is a bit of a mixed bag but still generally enjoyable. The writing isn't as strong or consistent as in the first series so it becomes more of a villain-of-the-week kind of format. Some of the other superhuman characters make fun appearances but there's a lack of good guest stars compared to the first season. The supporting cast tend to come into her own here which keeps this watchable.Review of Season Three:Season 3 takes a few more missteps than previously but still proves generally enjoyable. The main problem with this one is the weaker writing, with much more needless family melodrama and a lack of genuine suspense. The constant time travel storylines simply aren't as interesting as those of the previous two series, and the recasting of Wells as a comedy character becomes a little grating. By far the nadir of this season is the ridiculous song-and-dance episode complete with the bloody John Barrowman, no less; what were they thinking?Review of Season Four:Sadly, Season 4 proves to be the worst yet, a mish mash of ideas and tropes that never really gels. The first half of the series is pure filler as Barry gets sent to prison which doesn't really make sense when it comes to the fantasy and sci-fi elements found elsewhere. The obnoxious comedy with Harry's alter egos and the endless romantic elements drag the pacing down considerably. The inclusion of the bendy guy is ridiculous and not helped by appalling CGI effects. The series' villain is a predictable chap borrowed from Marvel and the final element a simple MATRIX copy with more bad FX. A shame that a once-promising show is now becoming so tedious."
24,The Haunting of Bly Manor,https://www.imdb.com/title/tt10970552/reviews?ref_=ttls_li_tt,"Henry Wingrave hires American Dani Clayton to care for his orphaned nephew and niece at an English country estate called Bly Manor. She joins a staff which includes chef Owen Sharma, groundskeeper Jamie and housekeeper Mrs. Grose.This second season of the Netflix anthology goes to a different place. It doesn't have the scares as the first season. It's a bit creepy but I'm not really drawn into the mystery. It's a basic ghost and possession story. I like the actors. The kids are creepy. It doesn't intriguing as much as the first season and it falters by the comparison. It's still good TV but it is a sophomore slump."
25,Wild Bill,https://www.imdb.com/title/tt9118930/reviews?ref_=ttls_li_tt,"Bill Hixon is a US Police Chief who has just taken a new job in Boston... not the Boston in Massachusetts but the original in Lincolnshire! Here he is to take over as the Chief Constable of the fictional East Lincolnshire Constabulary. It soon becomes clear that it won't be an easy job; he isn't particularly welcome, with locals fearing he has been brought in to cut costs and thus jobs. Over the course of the series he will have to investigate a variety of crimes; most of which aren't of the type that would feature in a typical US cop show! If that weren't enough he has a fourteen year old daughter who must also settle into a new life far from home.It is clear from the start that this will be a fairly silly series... the very first scene sees our protagonist chase crooks into a cabbage field and start throwing cabbages in frustration! While this isn't a problem there are details that will irritate some viewers... notably the fact that most of the 'locals' have Yorkshire accents and the fact that the way the police behave is very unrealistic; no Chief Constable would lead investigations and junior officers certainly wouldn't get away with talking to him the way they do here. Perhaps a little strangely these flaws didn't bother me as much as I'd expected. The stories are fun but not without their darker moments. Rob Lowe is the undoubted star of the show; doing a fine job as our protagonist; there is solid support from Bronwyn James as DC Muriel Yeardsley, the one local copper who seems to get on with Hixon; young Aloreia Spencer, who impresses as his daughter Kelsey; and Rachel Stirling, as local judge Lady Mary Harborough. The series ends with what I thought was its best episode; this wraps up some storylines but leaves others open for a future series... if there is more I'll watch. Overall I'd say that while this isn't the best British cop show I'd still recommend trying it as different to most shows and set in part of the country rarely seen on television."
26,Bergman Island,https://www.imdb.com/title/tt6910282/reviews?ref_=ttls_li_tt,"It's a movie that includes the great Bergman praises and critiques, as well as a terrific Bergman safari.A great cinematic experience that increases the pleasure of watching with its screenplay that makes the movie out of Bergman's prisoner with two very beautiful stories.This is the first movie of the director/screenwriter that I watched.He also managed to arouse curiosity about himself."
27,The Blazing World,https://www.imdb.com/title/tt11378876/reviews?ref_=ttls_li_tt,"The story is weird, and doesn't make much sense. The first half is too long, and the second half is too short. However, the ending doesn't make sense, and is very confusing. Overall, the film is slow, fragmented and confusing."
28,Needle in a Timestack,https://www.imdb.com/title/tt7099280/reviews?ref_=ttls_li_tt,"Nick (Leslie Odom Jr.) and Janine (Cynthia Erivo) are a couple. Nick is concerned that Tommy (Orlando Bloom), Janine's ex-husband will travel back in time and change the past so he can stay with her. Then it happens. Or something happens and Nick is married to his ex-girlfriend, his sister's friend did not die and Tommy is with Janine and he is torn between trying to get her back in this time or another time or not doing anything at all. Did anybody kill Hitler as a baby?The film is far more drama than science fiction. It wasn't a very good screen adaptation and maybe should have stayed as a short story. Needed better direction and editing.Guide: F-word. No sex or nudity."
29,Freshman Year,https://www.imdb.com/title/tt11618536/reviews?ref_=ttls_li_tt,I find the film slow and boring. They just talk and talk. Nothing happens.
30,Old,https://www.imdb.com/title/tt10954652/reviews?ref_=ttls_li_tt,"Guy (Gael García Bernal) and his family have been given an exotic resort vacation. They and other guests are brought to a secluded closed beach. Soon, they realize that the kids are growing older by years and nobody can escape.Like a lot of M. Night Shyamalan movies, he has a fascinating idea and a twist. The idea is really good. The twist explains some of the idea but in reality, it's not actually necessary. It would be more compelling to have the group stumble upon a mini Bermuda triangle from which no one can escape. As for the group, I do have an issue with them not doing everything to try to escape. They often feel stuck by their own inaction. The only one truly figuring out stuff seems to be Jarin. What got me is when Kara tries to climb out. Instead of helping, almost everyone is trying to stop her and stop Trent from joining her. First of all, one of the adults should have tried climbing before then. I also wonder why they don't try to tie together a rope or MacGyver something. The pool noodles are meant to be funny but I just wondered why that's the first time we're shown them. Then there is the passing out bit. The story yadayada a lot of that away. Nevertheless, I still like the idea. It's a fun Twilight Zone episode. M. Night continues to do the twist at the end and this one is fine. This is interesting."
31,Snake Eyes,https://www.imdb.com/title/tt8404256/reviews?ref_=ttls_li_tt,It's the origins of G. I. Joe team member Snake Eyes (Henry Golding). Nobody asked for this. Nobody is really looking for this. The story is fine. It's a functional origins story if somewhat uninspired. Golding is fine. The actors are all fine. The action is fine but the constant CG work does make it repetitive. The last act drags as the repetitive action goes on and on. This is trying to set up for more G. I. Joe movies but that is unlikely to be successful.
32,Honey Girls,https://www.imdb.com/title/tt11847606/reviews?ref_=ttls_li_tt,"A great film showcasing the chance that some lucky youngsters get, if picked , in a hard place to make it , if the 3 girls are actually a group , I hope they stick together and make it."
33,Last Man Down,https://www.imdb.com/title/tt12335692/reviews?ref_=ttls_li_tt,"John Wood (Daniel Stisen) is in special ops during a pandemic that wipes out most of Europe as people flee to the north and live in small communities. He has a falling out with Commander Stone (Daniel Nehme) and manages to escape to the mountains where he lives in an isolated cabin. An injured woman (Olga Kent) arrives at his cabin. He cares for her and discovers that her blood is the cure for the virus which is why they want her. She doesn't want big pharma to control the cure, she wants to give it to the people, a rather muddied plot point. Most of the film is our happy Nordic couple fighting semi-Rambo style against armed forces. It is an action movie with a pandemic background. It even include the final one on one giant vs giant fight at the end. Very cliche.The first thing I noticed was there was some dubbing. In an early scene where one fighter after another approaches John, there all say something. And every one had the same identical voice. It is a Rambo light type of fun.Guide: F-word. Rear nudity."
34,No Man of God,https://www.imdb.com/title/tt13507778/reviews?ref_=ttls_li_tt,"FBI agent Bill Hagmaier (Elijah Wood) interviews serial killer Ted Bundy (Luke Kirby) who is on death row.This movie has limited tension. In the first part of this, Bill really has no specific goal other than just talking with Bundy. He is only in danger of getting killed by the mass murderer. He needs a specific goal but his mission is specifically goalless. It's an interesting performance from Luke Kirby. There isn't much in terms of plot. They do introduce a ticking clock in the last section but the stakes are never elevated. If they need to give peace to these families, then they should have somebody show how troubled they are. They need to elevate the intensity."
35,Superman and Lois,https://www.imdb.com/title/tt11192306/reviews?ref_=ttls_li_tt,"I am writing this after the first four episodes of this new TV series. To be successful a series needs both good stories and interesting characters and this one has both.As the series starts Clark and Lois have fraternal twin teenage sons who don't yet know their father is Superman. They decide to move from Metropolis and return to the Kent farm in Smallville. As the story lines are developing one of the boys starts to show unusual abilities and his parents must tell the sons the whole story.As episode four ended we see a wealthy businessman who just bought mineral rights of an old mining operation in Smallville apparently has a lode of Kryptonite and this promises to become the new villain for Superman.So far a good, entertaining series, one-hour (with commercials) episodes on Monday nights on the WB."
36,Tiger,https://www.imdb.com/title/tt12688688/reviews?ref_=ttls_li_tt,"They all capture so well (including this one) is the complex, complicated truth of an individual. I do wonder, though, if the ending triumph of ""Tiger"" is just more of what the film is trying to combat: the public's desire to see perfection in a person."
37,The Asset,https://www.imdb.com/title/tt6079772/reviews?ref_=ttls_li_tt,"Moody (Samuel L. Jackson) is a professional assassin and Anna (Maggie Q) is his protégé. They return to London after killing and stealing from a notorious gangster. She runs an antique book store and one day, the mysterious Rembrandt (Michael Keaton) walks in.This had some fun while Jackson remains on the screen. I thought he and Maggie Q work as a comedic action duo. She's the straight man. She doesn't talk much and Jackson can bounce anything off of her. The movie really loses something when it loses him. It becomes a derivative silent assassin movie when early on, it promised to be a fun irreverent blow-em-up movie. While he's gone, the movie feels like it lost something and it never really recovers it even after the reveal. This probably works better as a buddy killer comedy."
